id_question,enunciate,id_correct_item,id_concept
1,"<p>Duas bolas de metal têm o mesmo tamanho, mas uma pesa o dobro da outra. As bolas são soltas do telhado de um prédio de um único andar no mesmo instante (experimente a simulação).</p> <p>O tempo que as bolas levam para chegar ao chão será:</p>",1C,TF7
2,"<p>Duas bolas de metal têm o mesmo tamanho, mas uma pesa o dobro da outra, elas rolam de uma mesa horizontal com a mesma velocidade (experimente a simulação). Nesta situação:</p>",2A,TF7
3,"<p>Uma pedra solta do telhado de um prédio de um único andar até a superfície da Terra:</p>",3C,TF6
4,"<p>Durante a colisão entre um caminhão grande e um carro compacto:</p>",4E,TL1
5,"<p>A simulação mostra um canal sem atrito em forma de um segmento de um círculo com seu centro em O.</p> <p>O canal foi ancorado a uma mesa horizontal sem atrito. <p> Você está olhando para baixo na mesa.</p> <p>As forças exercidas pelo ar são negligenciáveis.</p>Uma bola é disparada em alta velocidade para o canal em P e sai em R.</p> <p> Considere as seguintes forças distintas:</p> <ol> <li>uma força descendente da gravidade.</li> <li>uma força exercida pelo canal apontando de Q para 0.</li> <li>uma força na direção do movimento.</li> <li>uma força apontando de 0 para Q.</li> </ol><p>Quais das forças acima estão agindo sobre a bola quando ela está dentro do canal sem atrito na posição Q?</p>",5B,PS2
6,"<p>A simulação mostra um canal sem atrito em forma de um segmento de um círculo com seu centro em O.</p> <p>O canal foi ancorado a uma mesa horizontal sem atrito. <p> Você está olhando para baixo na mesa.</p> <p>As forças exercidas pelo ar são negligenciáveis.</p>Uma bola é disparada em alta velocidade para o canal em P e sai em R.</p>  <p>Qual dos caminhos de 1 a 5 abaixo a bola seguiria mais de perto após sair do canal em R e se mover pela superfície da mesa sem atrito?</p>",6B,PL1
7,"<p>Uma bola de aço está presa a uma corda e é girada em um caminho circular em um plano horizontal, como ilustrado na figura abaixo. <p> No ponto P, a corda se quebra repentinamente perto da bola.</p> <p> Se esses eventos forem observados diretamente de cima, qual dos caminhos 1-5 abaixo a bola seguiria mais de perto após a corda quebrar?</p>",7B,PL1
8,"<p> A figura mostra um disco de hóquei deslizando com velocidade constante V0 em linha reta do ponto P ao ponto Q em uma superfície horizontal sem atrito.</p> <p>As forças exercidas pelo ar são desprezíveis.</p> <p>Você está olhando para o disco de cima.</p> <p> Quando o disco atinge o ponto Q, ele recebe um rápido chute horizontal na direção da seta em negrito. </p>  <p> Se o disco estivesse em repouso no ponto P, então o chute teria colocado o disco em movimento horizontal com uma velocidade Vk na direção do chute. </p>  Qual dos caminhos 1-5 abaixo o disco seguiria mais de perto após receber o chute?",8B,SL1
9,"<p> A figura mostra um disco de hóquei deslizando com velocidade constante V0 em linha reta do ponto P ao ponto Q em uma superfície horizontal sem atrito.</p> <p>As forças exercidas pelo ar são desprezíveis.</p> <p>Você está olhando para o disco de cima.</p> A velocidade do disco de hóquei logo após receber o chute é:",9E,C5
10,"<p> A figura mostra um disco de hóquei deslizando com velocidade constante V0 em linha reta do ponto P ao ponto Q em uma superfície horizontal sem atrito.</p> <p>As forças exercidas pelo ar são desprezíveis.</p> <p>Você está olhando para o disco de cima.</p> <p> Ao longo do caminho sem atrito que você escolheu na questão 8, a velocidade do disco de hóquei após receber o chute: </p>",10A,PL3
11,"<p> A figura mostra um disco de hóquei deslizando com velocidade constante V0 em linha reta do ponto P ao ponto Q em uma superfície horizontal sem atrito.</p> <p>As forças exercidas pelo ar são desprezíveis.</p> <p>Você está olhando para o disco de cima.</p> <p> Ao longo do caminho sem atrito que você escolheu na questão 8, a(s) principal(is) força(s) agindo no disco de hóquei após receber o chute é(são): </p>",11D,PS2 
12,"<p> Uma bola é disparada por um canhão do topo de um penhasco, como mostrado abaixo. Qual dos caminhos 1-5 a bola de canhão seguiria mais de perto? </p>",12B,TF8
13,"<p> Um menino joga uma bola de aço para cima. Considere o movimento da bola somente após ela ter deixado a mão do menino, mas antes de tocar o chão, e assuma que as forças exercidas pelo ar são desprezíveis. Nessas condições, a(s) força(s) agindo sobre a bola é(são): </p>",13D,TF6
14,"<p> Uma bola de boliche cai acidentalmente do compartimento de carga de um avião enquanto ele voa em direção horizontal. Como observado por uma pessoa em pé no chão e olhando para o avião como na figura abaixo, qual dos caminhos 1-5 a bola de boliche seguiria mais de perto após deixar o avião? </p>",14D,C3
15,"<p> Um caminhão grande quebra na estrada e recebe um empurrão de volta para a cidade por um carro compacto pequeno, como mostrado na figura abaixo </p> <img src=""../figs/q_15_16.jpeg"" alt=""description""> <p> Enquanto o carro, ainda empurrando o caminhão, está acelerando para alcançar a velocidade constante. </p>",15A,TL2
16,"<p> Um caminhão grande quebra na estrada e recebe um empurrão de volta para a cidade por um carro compacto pequeno, como mostrado na figura abaixo </p> <img src=""../figs/q_15_16.jpeg"" alt=""description""> <p> Após o carro alcançar a velocidade constante de cruzeiro na qual o motorista deseja empurrar o caminhão, </p>",16A,TL2
17,"<img src=""../figs/q_17.jpeg"" alt=""description""> <p> Um elevador está sendo levantado em um poço de elevador a uma velocidade constante por um cabo de aço, como mostrado na figura a seguir. Todos os efeitos de atrito são desprezíveis. Nessa situação, as forças no elevador são tais que: </p>",17B,PL4
18,"<img src=""../figs/q_18.jpeg"" alt=""description""> <p> A figura a seguir mostra um menino balançando, começando em um ponto mais alto que P. Considere as seguintes forças distintas: </p> <ol> <li> uma força descendente da gravidade. <\li> <li> uma força exercida pela corda apontando de P para O. <\li> <li> uma força na direção do movimento do menino. <\li> <li> uma força apontando de O para P. <\li> </ol>",18B,TF1
19,"<img src=""../figs/q_19.jpeg"" alt=""description""> <p>As posições de dois blocos em intervalos de tempo sucessivos de 0,20 s são representadas pelos quadrados numerados na seguinte figura. Os blocos estão se movendo para a direita.</p> <p>Os blocos têm a mesma velocidade? </p>",19E,C1
20,"<img src=""../figs/q_20.jpeg"" alt=""description""> <p>As posições de dois blocos em intervalos de tempo sucessivos de 0,20 segundos são representadas pelos quadrados numerados na figura abaixo. Os blocos estão se movendo para a direita.</p> <p>As acelerações dos blocos estão relacionadas da seguinte forma:</p>",20D,C2
21,"<img src=""../figs/q_21_24.jpeg"" alt=""description""> <p> Uma nave espacial deriva lateralmente no espaço sideral do ponto P ao ponto Q, como mostrado abaixo.</p> <p>A nave espacial não está sujeita a forças externas.</p> <p> Começando na posição Q, o motor da nave espacial é ligado e produz um impulso constante (força na nave espacial) perpendicular à linha PQ. </p> <p> O impulso constante é mantido até que a nave espacial alcance um ponto R no espaço. </p> <p>Qual dos caminhos 1-5 abaixo melhor representa o caminho da nave espacial entre os pontos Q e R? </p> <img src=""../figs/q_21.jpeg"" alt=""description"">",21E,C3
22,"<img src=""../figs/q_21_24.jpeg"" alt=""description""> <p> Uma nave espacial deriva lateralmente no espaço sideral do ponto P ao ponto Q, como mostrado abaixo.</p> <p>A nave espacial não está sujeita a forças externas.</p> <p> Começando na posição Q, o motor da nave espacial é ligado e produz um impulso constante (força na nave espacial) perpendicular à linha PQ. </p>  <p> O impulso constante é mantido até que a nave espacial alcance um ponto R no espaço. </p> <p> Conforme a nave espacial se move do ponto Q para o ponto R, sua velocidade: </p> ",22B,C4
23,"<img src=""../figs/q_21_24.jpeg"" alt=""description""> <p> Uma nave espacial deriva lateralmente no espaço sideral do ponto P ao ponto Q, como mostrado abaixo.</p> <p>A nave espacial não está sujeita a forças externas.</p> <p> Começando na posição Q, o motor da nave espacial é ligado e produz um impulso constante (força na nave espacial) perpendicular à linha PQ. </p> <p> O impulso constante é mantido até que a nave espacial alcance um ponto R no espaço. </p> <p>No ponto R, o motor da nave espacial é desligado e o impulso imediatamente cai para zero. Qual dos caminhos 1-5 a nave espacial seguirá além do ponto R?</p> <img src=""../figs/q_23.jpeg"" alt=""description"">",23B,PL2
24,"<img src=""../figs/q_21_24.jpeg"" alt=""description""> <p> Uma nave espacial deriva lateralmente no espaço sideral do ponto P ao ponto Q, como mostrado abaixo.</p> <p>A nave espacial não está sujeita a forças externas.</p> <p> Começando na posição Q, o motor da nave espacial é ligado e produz um impulso constante (força na nave espacial) perpendicular à linha PQ. </p>  <p> O impulso constante é mantido até que a nave espacial alcance um ponto R no espaço. </p> <p>Além da posição R, a velocidade da nave espacial :</p>",24A,PL3
25,"<p>Uma mulher exerce uma força horizontal constante em uma grande caixa. Como resultado, a caixa se move em um piso horizontal com uma velocidade constante v0. A força horizontal constante aplicada pela mulher</p>",25C,PL4
26,"<p>Se a mulher da pergunta anterior dobrar a força horizontal constante que ela exerce sobre a caixa para empurrá-la no mesmo piso horizontal, a caixa então se move</p>",26E,SL2 
27,"<p>Se a mulher da pergunta 25 parar subitamente de aplicar uma força horizontal à caixa, então a caixa</p>",27C,TF3
28,"<img src=""../figs/q_28.jpeg"" alt=""description""> <p> Na figura a seguir, o estudante A tem uma massa de 75 kg e o estudante B tem uma massa de 57 kg. Eles estão sentados em cadeiras de escritório idênticas, de frente um para o outro. O estudante A colocou seus pés descalços nos joelhos do estudante B, como mostrado. </p> <p> O estudante A então de repente empurra para fora com os pés, fazendo com que ambas as cadeiras se movam. Durante o empurrão e enquanto os estudantes ainda estão tocando um ao outro, </p>",28E,TL1
29,"<p>Uma cadeira de escritório vazia está em repouso no chão. Considere as seguintes forças:</p> <ul> <li> A. uma força descendente da gravidade.</li> <li> B. uma força ascendente exercida pelo chão.</li> <li> C. uma força líquida descendente exercida pelo ar.</li> </ul> <p> Quais das forças estão agindo na cadeira de escritório? </p>",29B,TF1
30,"<p>Apesar de um vento muito forte, uma jogadora de tênis consegue bater em uma bola de tênis com sua raquete de forma que a bola passe sobre a rede e caia na quadra de sua adversária.</p> <p>Considere as seguintes forças:</p> <ul> <li>A. uma força descendente da gravidade.</li> <li>B. uma força pelo ""golpe"".</li> <li>C. uma força exercida pelo ar.</li> </ul>",30C,TF4
